run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
58.798	58.314	3.266	3.138	1.702
58.898	67.877	3.233	4.874	1.278
58.999	72.112	3.267	4.431	1.532
59.099	63.135	3.415	4.928	1.966
59.200	54.844	3.300	4.701	1.769
59.299	64.377	3.232	5.081	1.641
59.399	65.648	2.767	4.484	1.233
59.499	48.810	2.350	4.602	1.165
59.599	39.050	2.214	4.590	1.235
59.699	38.381	2.421	4.170	1.215
59.799	54.133	2.246	4.521	1.425
59.898	52.680	1.653	6.427	1.071
59.998	50.189	1.828	4.016	1.186
60.099	46.160	1.881	3.959	1.132
60.198	49.180	2.224	4.230	1.299
60.298	41.239	2.627	4.015	1.858
60.400	46.844	2.852	4.299	1.863
60.498	54.717	3.099	4.374	1.560
60.599	58.518	2.898	4.467	1.268
60.699	61.153	3.292	4.342	1.603
60.799	64.114	3.401	3.988	2.081
60.900	62.539	3.968	4.022	1.913
60.999	59.932	3.223	4.576	1.557
61.099	59.452	2.896	3.138	0.757
61.198	56.628	3.166	4.369	1.196
61.299	57.766	2.799	4.393	1.066
61.400	57.531	2.466	4.026	0.744
61.498	64.245	2.348	3.111	0.569
61.599	62.148	2.073	4.448	0.845
61.700	57.013	1.868	4.604	0.803
run 1						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	60.861	3.394	3.564	2.237
0.200	55.278	2.845	4.728	1.744
0.300	58.778	3.196	3.706	1.608
0.400	58.086	3.557	2.050	2.023
0.500	52.416	3.464	2.228	1.620
0.600	50.221	3.186	2.082	1.666
0.701	50.276	3.362	2.089	1.635
0.800	62.998	2.872	2.263	1.868
0.900	56.735	2.509	9.173	1.677
1.000	54.058	2.347	9.936	1.413
1.100	46.482	2.084	7.304	1.546
1.200	60.238	1.893	4.091	1.310
1.300	47.433	1.850	4.122	1.261
1.401	69.017	1.764	4.586	1.608
1.502	69.271	1.888	3.917	1.616
1.600	78.255	2.174	4.844	1.191
1.701	80.413	2.670	4.320	1.305
1.800	75.375	2.340	5.616	1.676
1.900	70.398	2.911	7.677	1.776
2.001	76.197	2.671	4.574	1.849
2.100	76.211	2.841	4.544	2.042
2.202	75.004	2.982	4.390	2.350
2.301	79.339	2.970	4.860	2.539
2.400	71.344	3.923	3.346	1.950
2.501	70.126	3.359	4.358	1.817
2.600	73.887	2.994	4.702	2.169
2.700	82.455	2.950	6.846	1.750
2.800	79.166	2.787	4.214	1.268
2.900	67.372	2.470	4.431	1.459
3.000	66.280	2.614	4.837	1.525
3.100	77.339	2.294	3.484	1.756
3.200	70.572	2.174	4.301	2.535
3.301	83.601	1.885	3.521	2.143
3.400	69.456	2.031	3.497	2.408
3.500	79.825	2.205	3.971	1.330
3.600	74.737	2.621	6.452	2.651
3.701	75.080	2.704	4.053	2.608
3.800	70.138	3.017	4.634	2.980
3.900	78.777	3.136	6.610	2.184
4.000	79.604	2.993	6.172	2.089
4.101	73.610	3.684	3.310	1.447
4.200	75.681	3.709	4.357	1.891
4.300	65.833	3.581	5.214	1.249
4.400	75.506	2.902	4.099	1.902
4.500	74.229	2.782	6.514	1.125
4.600	79.614	3.218	4.166	1.207
4.701	74.179	2.620	6.435	1.342
4.800	72.049	2.608	3.829	1.827
4.900	70.011	2.146	3.525	1.394
5.001	77.682	2.166	4.673	1.868
5.100	78.828	1.941	4.472	2.325
5.200	79.486	1.731	5.310	1.873
5.300	73.556	2.646	6.421	2.568
5.400	75.401	2.558	4.947	1.698
5.500	66.691	2.755	5.089	1.467
5.600	70.149	2.531	3.875	2.895
5.700	65.105	2.510	5.133	2.185
5.800	74.005	2.781	5.305	2.260
5.900	77.446	3.474	4.632	1.995
6.001	63.056	3.413	5.011	1.980
6.100	74.455	3.315	4.586	2.147
6.200	68.672	3.573	4.799	1.623
6.300	68.221	3.306	4.345	2.908
6.400	65.338	3.069	4.836	1.840
6.500	64.353	3.087	4.035	1.894
6.601	73.383	2.841	5.977	2.056
6.701	70.464	2.634	3.821	1.235
6.800	68.258	2.268	3.782	1.542
6.900	69.207	2.120	4.604	1.283
7.000	73.325	2.126	5.003	1.318
7.100	68.272	2.169	4.693	1.317
7.201	72.352	1.813	3.695	1.482
7.300	67.654	2.539	4.654	1.674
7.400	71.645	2.676	5.609	1.903
