run 0						
time	12V rail	5V rail	3,3V rail	POWER 12V	POWER 5V	POWER 3,3V
26.501	11.266	0.710	1.510	1.130	-0.537	7.666
26.601	11.266	0.710	1.510	1.166	-0.539	10.290
26.701	11.266	0.710	1.510	1.130	-0.546	12.138
26.800	11.268	0.712	1.512	1.348	-0.552	12.722
26.900	11.267	0.712	1.512	0.912	-0.536	13.934
27.000	11.267	0.711	1.511	1.384	-0.545	15.833
27.100	11.265	0.709	1.510	0.949	-0.550	17.592
27.201	11.268	0.712	1.512	0.949	-0.550	19.221
27.300	11.266	0.710	1.510	1.239	-0.551	19.951
27.400	11.267	0.711	1.511	1.457	-0.540	20.690
27.500	11.266	0.710	1.509	0.912	-0.551	21.412
27.600	11.266	0.710	1.510	1.094	-0.558	21.941
27.699	11.266	0.710	1.510	1.275	-0.558	22.525
27.800	11.266	0.711	1.511	1.529	-0.549	23.795
27.900	11.267	0.711	1.512	1.493	-0.568	24.847
28.000	11.266	0.711	1.511	1.275	-0.570	25.897
28.100	11.265	0.709	1.510	1.094	-0.573	25.132
28.199	11.265	0.709	1.510	1.057	-0.575	25.005
28.300	11.265	0.709	1.511	0.949	-0.564	24.466
28.400	11.266	0.710	1.511	1.094	-0.565	23.751
28.500	11.267	0.711	1.511	1.312	-0.579	22.938
28.600	11.270	0.714	1.512	1.711	-0.591	21.745
28.700	11.268	0.712	1.512	1.312	-0.587	22.154
28.800	11.268	0.712	1.512	1.457	-0.601	22.091
28.899	11.268	0.713	1.512	0.949	-0.583	21.590
29.000	11.266	0.710	1.509	1.384	-0.592	20.192
29.100	11.267	0.711	1.510	1.675	-0.598	17.543
29.199	11.263	0.707	1.508	1.420	-0.601	15.410
29.300	11.265	0.709	1.510	0.985	-0.614	12.887
29.401	11.267	0.711	1.512	1.021	-0.613	11.014
29.500	11.267	0.712	1.512	1.275	-0.607	8.868
29.599	11.268	0.712	1.513	1.094	-0.631	7.130
29.700	11.266	0.711	1.511	1.021	-0.606	6.547
29.800	11.267	0.711	1.511	1.275	-0.625	5.247
29.900	11.268	0.712	1.512	0.876	-0.612	3.214
29.999	11.266	0.710	1.510	1.348	-0.620	0.083
30.099	11.266	0.711	1.510	0.912	-0.616	-3.171
30.200	11.268	0.713	1.512	1.239	-0.613	-4.237
30.300	11.267	0.711	1.511	1.094	-0.630	-8.774
30.400	11.267	0.712	1.511	1.021	-0.644	-12.110
30.500	11.269	0.713	1.512	1.167	-0.647	-17.833
30.600	11.269	0.713	1.511	1.167	-0.654	-22.421
30.700	11.267	0.711	1.510	1.493	-0.609	-13.963
30.799	11.267	0.711	1.510	1.058	-0.618	-19.353
30.900	11.268	0.712	1.510	1.203	-0.610	-17.553
31.000	11.266	0.710	1.508	1.420	-0.581	-16.936
31.100	11.269	0.713	1.511	1.167	-0.622	-23.511
31.200	11.267	0.711	1.509	1.058	-0.582	-17.108
31.300	11.268	0.713	1.510	1.167	-0.606	-20.285
31.400	11.269	0.714	1.512	0.949	-0.577	-19.173
31.500	11.269	0.713	1.511	0.985	-0.583	-19.025
31.599	11.249	0.694	1.493	12.144	-0.476	-21.220
31.700	11.246	0.690	1.491	12.539	-0.355	-13.005
31.800	11.247	0.691	1.493	12.178	-0.316	-19.772
31.899	11.245	0.689	1.492	12.611	-0.253	-16.867
32.001	11.247	0.691	1.496	12.323	-0.182	-14.439
32.099	11.245	0.689	1.494	12.864	-0.148	-14.894
32.200	11.245	0.689	1.495	12.357	-0.102	-14.773
32.300	11.247	0.691	1.497	12.214	-0.064	-13.567
32.400	11.246	0.690	1.497	12.503	-0.089	-15.643
32.500	11.247	0.691	1.498	12.721	0.027	-15.207
32.599	11.246	0.690	1.499	11.851	0.027	-14.776
32.701	11.246	0.690	1.498	12.394	0.003	-14.097
32.800	11.246	0.690	1.500	12.213	0.051	-13.827
32.900	11.246	0.690	1.500	12.322	0.058	-14.383
33.000	11.247	0.691	1.500	12.286	0.058	-13.270
33.100	11.247	0.691	1.501	12.467	0.087	-11.296
33.200	11.246	0.690	1.500	12.466	0.111	-9.612
33.300	11.247	0.691	1.501	12.287	0.098	-7.868
33.400	11.247	0.691	1.501	12.214	0.125	-6.318
33.501	11.246	0.690	1.500	12.503	0.120	-5.101
33.600	11.271	0.715	1.523	0.368	0.012	-4.263
33.700	11.269	0.714	1.520	0.187	-0.082	-3.280
33.800	11.271	0.715	1.520	-0.067	-0.165	-2.398
33.900	11.269	0.714	1.516	0.223	-0.232	-0.932
34.000	11.271	0.715	1.517	0.114	-0.297	0.636
34.099	11.271	0.715	1.517	0.368	-0.354	1.984
34.200	11.271	0.715	1.515	0.078	-0.368	3.877
34.301	11.271	0.715	1.515	-0.249	-0.398	5.871
34.401	11.271	0.715	1.514	-0.431	-0.442	8.216
34.501	11.271	0.715	1.514	-0.031	-0.454	10.289
34.600	11.270	0.714	1.513	-0.104	-0.508	11.720
34.699	11.243	0.688	1.489	12.681	-0.407	12.159
34.799	11.247	0.691	1.494	12.178	-0.280	13.432
34.899	11.246	0.690	1.494	12.358	-0.242	14.675
35.001	11.248	0.692	1.497	12.215	-0.167	17.229
35.101	11.247	0.691	1.497	12.576	-0.122	19.252
35.199	11.247	0.692	1.498	12.251	-0.102	19.896
35.300	11.245	0.689	1.495	12.176	-0.057	20.488
35.400	11.246	0.690	1.498	12.213	-0.057	21.329
35.501	11.245	0.689	1.497	12.756	-0.022	22.255
35.601	11.245	0.689	1.499	12.430	0.025	23.197
35.700	11.246	0.690	1.499	13.155	-0.049	23.747
35.800	11.246	0.690	1.500	11.815	0.074	25.366
35.900	11.245	0.689	1.500	12.575	0.018	26.168
36.000	11.245	0.689	1.500	12.575	0.034	26.723
36.100	11.246	0.690	1.500	12.539	0.080	26.106
36.200	11.245	0.689	1.499	12.393	0.082	25.866
36.299	11.246	0.690	1.501	12.612	0.087	25.431
36.400	11.247	0.691	1.500	12.540	0.123	24.623
36.500	11.247	0.691	1.501	12.721	0.083	23.430
36.600	11.246	0.690	1.500	12.285	0.111	22.467
36.700	11.247	0.692	1.503	12.468	0.103	22.467
36.800	11.247	0.691	1.501	12.323	0.103	22.559
36.900	11.248	0.692	1.502	12.469	0.098	22.047
37.001	11.248	0.692	1.502	12.505	0.103	21.374
37.100	11.247	0.691	1.501	12.504	0.103	19.161
37.200	11.243	0.687	1.498	12.246	0.098	16.952
37.300	11.248	0.692	1.502	12.650	0.094	14.845
37.400	11.247	0.692	1.502	12.215	0.101	13.095
37.500	11.247	0.692	1.501	12.541	0.092	11.273
37.600	11.245	0.689	1.499	12.719	0.091	9.909
37.700	11.247	0.691	1.501	12.251	0.101	8.732
37.801	11.248	0.692	1.501	12.614	0.087	7.654
37.899	11.248	0.692	1.501	12.433	0.103	6.650
38.000	11.248	0.692	1.501	11.889	0.092	5.298
38.100	11.247	0.691	1.501	12.142	0.094	3.727
38.200	11.247	0.691	1.501	12.504	0.089	2.369
38.299	11.250	0.695	1.504	12.617	0.097	0.713
38.399	11.247	0.691	1.501	12.468	0.089	-1.333
38.500	11.245	0.689	1.499	12.502	0.089	-3.634
38.599	11.246	0.690	1.500	12.322	0.094	-5.994
38.700	11.246	0.690	1.498	12.684	0.098	-8.137
38.799	11.247	0.691	1.501	12.648	0.098	-9.589
38.900	11.246	0.690	1.500	12.394	0.103	-9.863
39.001	11.247	0.691	1.501	12.794	0.112	-10.933
39.099	11.247	0.692	1.501	12.758	0.098	-12.594
39.200	11.250	0.694	1.503	12.543	0.094	-14.164
39.299	11.248	0.692	1.501	12.759	0.101	-15.682
39.400	11.247	0.691	1.500	12.504	0.103	-16.416
39.500	11.248	0.693	1.501	12.687	0.112	-16.732
39.600	11.248	0.692	1.501	12.868	0.110	-17.544
39.700	11.248	0.692	1.501	12.505	0.114	-17.867
39.799	11.243	0.687	1.497	12.282	0.111	-18.122
39.900	11.249	0.694	1.503	12.217	0.119	-18.443
39.999	11.252	0.696	1.504	12.364	0.106	-19.956
40.100	11.251	0.695	1.504	12.255	0.108	-20.819
40.199	11.249	0.694	1.503	12.398	0.105	-21.580
40.299	11.249	0.694	1.501	12.253	0.116	-20.653
40.400	11.251	0.696	1.503	12.328	0.103	-20.863
40.499	11.248	0.692	1.500	12.179	0.112	-20.476
40.599	11.249	0.693	1.501	11.999	0.119	-19.962
40.700	11.249	0.693	1.501	12.217	0.134	-18.622
40.799	11.249	0.693	1.502	12.796	0.132	-17.973
40.899	11.248	0.693	1.501	11.962	0.127	-17.955
41.000	11.249	0.694	1.502	12.471	0.125	-17.400
41.100	11.249	0.694	1.501	12.108	0.128	-18.042
41.200	11.249	0.693	1.501	12.289	0.130	-17.125
41.299	11.249	0.694	1.501	12.217	0.141	-15.754
41.400	11.249	0.693	1.500	12.397	0.148	-13.468
41.500	11.248	0.692	1.500	12.396	0.145	-11.395
41.600	11.247	0.691	1.500	12.975	0.147	-9.406
