run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
31.401	61.998	3.081	3.572	1.241
31.501	57.105	3.008	4.883	1.428
31.600	65.854	3.627	3.301	1.094
31.699	56.585	3.525	4.283	1.597
31.801	60.891	3.108	4.714	1.932
31.899	61.757	3.342	4.705	1.249
32.001	58.942	2.942	4.659	1.474
32.100	69.196	3.984	4.540	1.655
32.199	52.850	2.584	3.515	1.344
32.299	61.293	4.296	3.520	1.157
32.401	60.260	3.662	4.783	0.919
32.501	56.939	3.765	4.297	0.905
32.600	56.929	2.868	4.520	1.317
32.701	60.472	2.566	4.868	1.677
32.800	59.064	4.116	3.672	1.473
32.900	58.544	4.222	3.860	1.660
33.000	52.363	3.415	3.466	1.485
33.101	48.499	4.792	3.936	1.526
33.200	55.046	3.584	4.033	1.659
33.300	57.823	3.645	4.286	1.707
33.399	55.620	4.145	4.106	1.908
33.501	57.146	3.328	3.901	1.096
33.600	54.464	4.309	4.357	0.992
33.699	61.670	2.869	3.169	1.096
33.799	48.241	3.408	4.893	1.141
33.899	58.854	3.440	3.712	0.838
33.999	53.773	4.166	4.509	0.919
34.101	53.915	2.866	4.471	1.081
34.200	52.208	3.721	4.554	0.786
34.300	51.666	2.770	4.030	0.804
34.399	47.572	3.483	4.333	0.594
34.501	50.802	3.346	3.192	0.808
34.600	45.961	2.494	4.618	1.681
34.700	52.501	3.846	3.818	1.760
34.800	55.667	2.796	3.653	1.239
34.900	59.747	3.601	4.283	1.136
35.000	52.089	2.665	4.402	1.654
35.100	58.526	3.507	3.839	1.591
35.200	58.339	2.966	4.774	1.988
35.300	57.976	2.855	4.126	1.732
35.400	58.592	3.600	4.842	1.398
35.501	59.297	2.373	3.851	1.546
35.599	55.553	4.212	4.246	1.237
35.700	53.145	2.807	4.305	1.111
35.800	56.921	3.020	4.790	1.483
35.900	55.564	3.197	3.385	1.533
35.999	59.840	2.925	4.740	1.511
36.100	61.578	3.595	3.218	1.325
36.200	65.900	3.059	3.432	0.595
36.300	54.389	4.384	3.526	0.680
36.400	53.657	2.827	4.395	0.948
36.499	59.089	4.027	3.946	1.006
36.600	53.731	3.263	4.604	0.809
36.700	57.109	3.429	3.706	0.904
36.800	57.865	4.185	4.540	0.809
36.900	58.097	2.922	3.890	1.283
37.000	66.804	2.741	4.408	1.646
37.101	59.602	3.848	4.126	1.584
37.201	57.058	3.418	4.330	1.584
37.300	56.936	3.070	4.320	1.756
37.400	56.617	4.475	3.485	1.545
37.500	56.646	2.484	4.148	1.308
37.600	54.559	3.872	3.378	1.504
37.700	59.008	3.219	4.222	1.095
37.800	60.206	2.973	3.835	1.670
37.901	59.758	3.480	4.391	1.031
38.000	60.038	3.918	4.033	0.569
38.100	59.880	3.486	3.386	1.297
38.201	56.918	4.383	4.333	1.165
38.300	65.239	3.328	4.034	1.361
38.399	60.173	4.874	3.527	1.679
38.500	57.573	3.367	3.818	1.858
38.600	57.612	4.319	4.498	1.131
38.700	64.769	2.528	4.674	1.743
38.800	52.965	3.984	4.053	2.052
38.899	62.575	3.112	3.290	2.045
39.001	61.104	3.176	3.992	1.405
39.100	50.862	3.639	3.124	1.086
39.201	52.794	2.835	3.540	0.898
39.300	53.243	4.416	3.661	0.983
39.400	53.076	2.574	3.815	0.625
39.500	54.460	3.824	3.354	0.883
39.599	50.879	2.644	4.001	0.951
39.700	50.433	3.916	4.193	0.675
39.799	52.337	3.035	3.867	0.506
39.899	58.769	3.027	7.573	1.280
40.000	64.510	3.873	6.280	1.367
40.099	65.820	2.635	6.445	2.411
40.200	54.381	3.496	4.640	1.847
40.300	53.925	2.754	4.491	1.531
40.399	50.858	2.520	3.582	1.286
40.500	52.432	2.700	3.501	1.782
40.599	55.053	2.545	4.544	1.862
40.700	54.678	3.254	4.119	2.427
40.801	51.445	2.646	4.508	2.231
40.899	55.316	3.887	4.600	1.727
41.000	53.703	2.911	3.236	1.661
41.101	56.590	4.297	4.368	1.122
41.199	42.422	3.444	4.580	1.036
41.300	54.164	2.748	4.269	1.277
41.400	62.247	3.269	5.236	1.547
41.500	55.802	3.681	3.391	1.499
41.599	41.713	4.085	3.965	0.888
41.699	50.709	2.933	4.147	1.014
41.799	49.337	3.811	4.470	0.913
41.900	57.187	4.257	4.249	0.839
42.000	58.155	3.112	5.516	0.992
42.099	45.159	3.741	3.990	1.050
42.200	57.862	3.499	3.900	0.714
42.301	49.470	4.838	3.131	0.881
42.400	50.195	3.795	3.708	0.533
42.500	53.900	3.292	4.735	1.156
42.599	59.299	2.301	4.383	1.151
42.700	57.454	3.582	4.143	1.182
42.799	51.104	2.480	3.256	1.862
42.900	57.329	3.342	4.054	1.683
43.000	47.123	3.317	4.233	1.240
43.099	55.425	3.472	3.988	1.470
43.201	51.942	3.131	3.181	1.691
43.301	52.539	3.181	3.303	1.308
43.399	49.220	3.229	3.353	1.212
43.499	52.570	3.008	3.780	0.727
43.601	50.032	4.858	4.641	0.504
43.699	47.643	3.983	4.008	1.241
43.800	52.182	3.442	4.105	1.094
43.900	47.982	4.993	3.283	1.621
44.001	56.776	2.971	4.537	1.531
44.101	51.865	4.250	4.337	1.096
44.200	54.039	3.577	3.491	1.458
44.299	49.605	3.074	4.534	1.446
44.400	50.780	4.369	4.152	1.821
44.500	56.352	3.537	3.190	1.192
44.600	46.849	4.003	3.517	0.957
44.699	54.422	2.378	3.447	1.266
44.799	54.011	3.435	3.664	0.824
44.899	48.907	3.340	4.386	0.732
45.000	54.245	2.735	4.822	0.707
45.099	50.324	3.968	4.434	0.970
45.200	57.899	3.310	3.909	0.607
45.300	49.685	3.727	3.512	0.390
45.399	55.537	2.364	3.803	1.234
45.501	52.670	3.636	3.283	0.879
45.600	55.445	2.985	4.392	1.435
45.700	52.419	2.322	4.676	1.227
45.800	50.042	3.030	4.472	1.394
45.899	47.188	2.909	4.147	1.115
45.999	47.791	3.641	3.443	1.362
46.101	47.888	2.324	3.271	1.811
46.199	58.441	4.610	3.982	1.954
46.300	50.538	2.845	3.400	1.785
46.400	54.751	3.354	4.804	1.498
46.499	48.793	4.124	4.375	1.313
46.599	55.535	4.177	3.594	1.206
46.700	42.953	3.637	4.262	1.209
46.800	47.203	4.176	3.733	1.622
46.899	50.648	3.926	4.053	1.534
46.999	55.920	4.151	3.806	1.183
47.100	53.986	4.019	4.654	0.984
47.199	49.710	4.385	3.978	0.904
47.300	51.109	3.226	3.280	0.691
47.400	43.724	3.705	3.719	1.136
47.500	52.884	3.026	3.760	0.540
47.599	51.175	3.789	4.633	0.685
47.699	53.496	3.629	3.238	1.123
47.800	42.748	5.012	4.199	0.901
47.899	56.475	2.461	4.192	0.986
48.000	53.880	3.813	4.717	1.234
48.099	50.883	2.473	3.695	1.354
48.200	56.910	3.134	3.905	1.581
48.299	52.248	2.501	3.481	1.717
48.399	52.780	3.238	4.286	1.248
48.500	46.905	2.424	3.296	1.213
48.599	49.785	3.092	3.696	1.157
48.700	50.346	4.112	3.686	1.403
48.799	44.515	2.800	4.153	1.677
48.900	49.828	2.702	4.332	1.155
49.000	51.477	3.938	3.351	0.346
49.100	54.144	2.547	3.582	1.060
49.199	53.501	3.538	4.996	0.853
49.300	45.731	2.895	4.452	1.635
49.400	56.132	2.961	4.491	1.823
49.500	51.894	4.048	4.584	1.620
49.600	57.981	2.517	4.570	1.139
49.700	57.918	2.942	4.279	1.455
49.800	56.704	2.959	4.350	1.638
49.900	52.163	3.284	3.501	1.410
50.000	54.118	2.710	3.332	1.413
50.100	51.501	4.135	3.606	0.963
50.200	50.093	3.680	4.269	0.882
50.300	49.005	2.958	4.057	1.257
50.399	62.207	3.885	4.033	0.706
50.499	55.916	3.083	3.557	0.368
50.599	53.401	3.817	4.515	0.797
50.699	51.471	2.456	4.259	0.506
50.799	52.602	2.333	3.119	0.930
50.899	53.110	2.695	3.647	0.461
50.999	61.587	3.026	3.769	1.032
51.099	59.140	3.383	3.969	1.089
51.200	60.157	2.540	4.041	1.354
51.299	56.012	4.775	3.756	1.556
51.400	50.060	3.118	4.485	1.285
51.500	49.966	4.269	4.626	1.324
51.599	51.615	3.556	3.459	1.451
51.699	61.736	3.856	3.245	1.993
51.800	50.416	4.175	4.190	2.155
51.900	50.326	2.335	3.552	1.779
52.000	50.535	3.185	4.449	1.668
52.100	50.200	2.808	4.456	1.731
52.200	51.938	4.297	4.939	1.052
52.299	57.630	4.082	3.472	1.547
52.400	59.433	3.902	3.257	1.410
52.499	54.478	2.694	3.521	1.346
52.599	55.985	4.874	4.003	1.326
52.699	55.511	2.873	3.778	0.945
52.798	50.252	3.768	3.708	1.105
52.899	55.172	3.563	4.099	0.988
53.000	51.505	3.368	4.330	1.308
53.100	51.955	3.452	4.710	1.500
53.199	57.543	2.658	3.395	1.661
53.300	54.691	3.993	4.563	1.316
53.400	52.790	4.731	3.471	1.286
53.500	48.276	2.642	3.903	1.910
53.600	61.853	2.483	3.405	2.010
53.699	46.280	4.261	4.614	2.057
53.800	49.641	2.536	4.346	1.755
53.900	53.524	4.176	3.657	1.469
53.999	49.741	3.353	4.332	1.505
54.099	56.267	2.476	3.974	0.948
54.199	58.126	4.013	4.801	1.341
54.300	57.418	2.577	4.065	1.699
54.399	64.172	4.096	3.988	1.270
54.499	54.073	2.187	3.443	0.440
54.600	57.257	3.060	3.448	1.248
54.699	62.617	4.176	3.892	1.238
54.800	59.030	3.602	3.553	1.230
54.899	55.703	4.357	4.640	1.797
54.999	59.239	3.770	4.654	2.089
55.100	60.367	2.495	4.343	1.684
55.198	51.802	3.493	4.402	1.231
55.299	53.271	2.833	3.487	1.610
55.400	56.766	3.563	4.458	2.037
55.500	58.298	2.420	5.095	2.329
55.599	53.182	3.931	4.491	1.226
55.698	64.843	2.807	3.782	1.392
55.800	59.270	3.572	4.415	1.389
55.899	55.459	3.282	4.431	1.038
55.998	71.749	2.899	4.118	1.458
56.099	51.630	3.662	4.053	1.436
56.199	56.945	2.534	4.728	1.548
56.300	59.575	4.294	4.104	0.872
56.400	71.102	2.373	3.382	1.162
56.499	52.473	4.482	4.955	1.047
56.599	62.460	3.851	3.485	1.380
56.700	59.387	2.974	3.401	1.397
56.799	58.632	3.454	4.140	1.486
56.900	60.786	3.661	4.655	1.652
57.000	55.918	4.362	4.128	1.287
57.098	57.909	3.084	3.620	1.540
57.199	61.822	4.479	4.098	2.268
57.298	64.307	2.719	4.549	2.114
57.400	59.019	3.541	4.301	1.871
57.499	59.643	4.478	4.131	1.547
57.600	61.862	2.779	3.696	1.732
57.699	58.766	4.309	3.834	1.163
57.798	59.486	3.036	4.510	1.567
57.899	56.379	4.546	3.391	1.723
57.999	57.339	3.054	3.410	1.887
58.099	61.960	3.793	4.666	1.042
58.199	64.569	3.375	3.472	0.868
58.299	64.209	3.347	3.179	1.074
58.399	69.206	4.113	3.328	0.859
58.499	60.003	3.892	4.464	0.750
58.598	59.667	4.497	3.320	0.657
58.699	58.629	4.508	3.934	0.570
58.799	64.417	4.199	4.002	0.618
58.900	63.534	4.106	4.057	1.367
58.999	61.270	3.830	3.154	0.893
59.099	63.745	3.685	3.535	1.045
59.200	67.596	3.226	3.743	1.143
59.300	53.752	4.146	4.577	1.551
59.400	51.562	2.354	4.055	1.767
59.499	52.490	4.003	2.937	1.834
59.599	56.288	3.807	4.084	1.229
59.700	61.482	3.326	3.621	1.631
59.800	52.652	3.789	4.394	1.827
59.900	59.606	3.391	4.692	2.017
60.000	51.620	2.441	3.113	0.654
60.100	54.599	3.022	4.609	0.802
60.199	51.848	2.691	4.830	1.097
60.300	49.739	3.703	3.971	1.230
60.400	54.822	3.023	3.738	2.000
60.499	48.827	3.880	3.573	1.728
60.599	54.325	3.072	4.104	1.669
60.699	62.598	3.851	4.150	1.546
60.798	55.644	2.442	4.276	1.604
60.898	53.337	3.074	5.498	1.850
60.999	48.424	2.691	6.608	2.536
61.098	48.666	3.877	8.059	1.592
61.199	43.865	3.167	4.141	0.722
61.298	49.797	3.050	3.581	0.929
run 1						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.101	42.367	3.167	2.008	1.565
0.200	61.795	4.238	2.297	2.659
0.301	62.847	2.933	2.532	2.292
0.402	63.014	3.799	4.308	2.250
0.500	57.972	4.155	3.849	2.499
0.600	60.929	2.668	4.034	2.296
0.700	63.284	5.356	4.292	2.279
0.802	60.713	2.609	3.914	1.830
0.902	59.664	3.490	3.601	2.346
1.000	66.916	5.158	3.971	1.731
1.101	64.548	3.986	3.306	2.176
1.200	63.455	3.333	4.428	1.810
1.300	67.305	3.019	3.640	1.816
1.400	71.367	4.018	4.519	2.063
1.501	69.441	3.979	3.776	0.832
1.601	67.961	4.323	3.897	1.144
1.700	63.134	2.514	5.034	1.637
1.801	67.886	4.062	4.809	1.899
1.900	70.933	3.409	3.788	1.681
2.001	76.194	3.658	4.620	1.550
2.100	62.457	4.370	3.844	1.538
2.201	57.642	3.068	3.547	1.624
2.301	63.279	4.846	3.351	1.908
2.400	72.004	2.934	4.520	2.403
2.501	64.263	3.920	3.354	2.703
2.600	65.067	3.322	4.149	2.037
2.701	69.994	3.205	3.547	1.988
2.802	63.098	2.898	4.906	1.925
2.901	68.305	3.369	4.072	1.998
3.000	62.299	4.452	3.427	1.958
3.100	60.726	2.866	3.566	1.570
3.201	69.151	4.683	4.986	1.569
3.300	63.083	3.588	3.355	1.714
3.401	67.214	3.919	3.902	1.152
3.500	66.739	3.369	3.559	1.436
3.601	64.774	4.373	4.281	1.766
3.700	65.919	3.602	4.456	1.735
3.801	69.631	3.463	3.465	2.402
3.901	64.324	5.031	4.630	1.882
4.001	58.091	3.229	4.945	1.339
4.100	74.744	3.689	4.994	1.390
4.200	63.404	3.176	4.651	2.148
4.300	62.977	4.024	4.395	2.256
4.401	63.096	2.415	4.435	1.724
4.500	67.931	3.441	3.519	1.741
4.600	66.502	3.727	3.349	1.276
4.700	65.375	3.169	3.648	1.622
4.800	61.582	4.039	4.741	1.611
4.900	64.098	2.876	3.506	1.602
5.000	63.440	3.786	4.848	1.544
5.100	75.147	2.888	8.208	2.425
5.200	74.920	3.011	6.002	1.863
5.300	63.029	3.265	7.964	1.168
5.400	64.842	2.453	4.695	1.642
5.500	63.878	2.614	5.097	1.589
5.600	71.115	3.313	3.988	2.144
5.700	64.086	4.048	3.744	1.941
5.801	58.905	3.713	3.967	1.631
5.900	56.672	4.509	3.729	1.507
6.000	62.580	3.255	3.797	1.721
6.101	58.887	3.523	4.734	2.090
6.200	67.704	4.193	4.126	2.234
6.302	55.156	2.866	4.061	1.663
6.400	66.556	3.590	3.743	1.726
6.500	62.729	4.039	4.591	0.957
6.601	63.405	5.050	3.991	1.553
6.700	66.789	3.044	4.546	1.319
6.801	64.170	3.663	4.574	1.959
6.900	61.161	3.546	4.438	1.121
7.000	65.794	3.113	4.411	1.203
7.100	65.048	4.306	4.253	0.602
7.200	66.174	2.956	4.026	0.916
7.301	64.793	4.378	4.823	1.208
7.400	59.246	2.782	4.244	0.493
7.501	66.068	3.780	4.225	0.656
7.600	62.946	3.628	3.524	0.856
7.700	60.227	3.600	4.747	0.678
7.800	62.199	4.548	4.398	1.299
