run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
38.099	43.584	4.354	0.946	0.484
38.199	35.442	4.041	0.864	0.417
38.299	44.057	3.545	1.102	0.204
38.399	41.456	3.405	1.045	2.083
38.499	42.946	4.824	0.933	1.496
38.599	33.003	3.353	0.844	0.316
38.699	34.073	4.628	1.035	0.901
38.799	31.628	3.817	0.709	0.345
38.899	37.294	4.725	0.938	0.933
38.999	37.049	3.499	1.089	1.891
39.099	30.211	3.854	0.753	0.317
39.201	38.268	4.639	0.972	0.258
39.300	33.196	3.535	0.883	1.873
39.400	37.709	4.915	0.886	0.283
39.500	31.666	4.294	0.799	1.476
39.600	30.594	4.093	0.888	0.270
39.700	40.924	3.402	0.930	0.223
39.799	28.369	5.000	0.802	0.127
39.899	43.104	3.827	0.996	1.238
39.999	29.428	4.643	0.713	0.324
40.099	38.614	4.553	1.040	0.917
40.200	35.412	4.771	0.862	0.421
40.300	38.769	3.768	0.861	0.955
40.399	37.090	5.729	1.029	0.923
40.499	43.693	4.417	0.974	0.403
40.599	38.870	4.497	0.994	0.150
40.699	38.999	3.923	1.048	0.855
40.799	42.131	2.930	0.954	0.451
40.899	30.513	4.559	0.778	0.063
41.000	26.225	4.934	0.690	0.316
41.100	39.113	4.394	0.935	1.528
41.199	37.939	3.461	1.011	0.881
41.299	26.875	2.872	0.827	0.579
41.399	30.066	4.064	0.784	0.157
41.500	36.703	3.907	0.941	0.169
41.599	45.145	4.443	0.975	0.878
41.699	40.370	4.573	0.913	1.360
41.800	20.088	3.546	0.707	0.125
41.900	39.712	3.854	1.039	0.491
41.999	26.063	3.427	0.859	0.271
42.100	38.869	4.073	0.925	1.069
42.199	39.434	5.531	1.023	2.491
42.299	35.705	3.945	0.985	1.456
42.400	35.391	3.670	0.814	0.155
42.500	41.682	4.113	1.009	0.232
42.600	25.032	3.503	0.684	0.212
42.700	39.452	3.930	0.917	0.396
42.799	43.004	4.130	1.084	1.046
42.899	27.644	3.083	0.784	0.293
42.999	24.999	3.139	0.689	0.307
43.099	34.554	4.756	1.043	0.138
43.199	42.548	4.404	0.968	2.844
43.300	25.496	3.023	0.679	0.377
43.400	37.903	3.447	0.777	0.116
43.499	28.838	3.426	0.795	0.464
43.599	25.613	3.098	0.762	0.345
43.699	33.161	4.505	0.936	0.977
43.799	29.774	3.411	0.964	0.275
43.900	37.148	5.105	0.974	0.293
43.999	30.374	3.970	0.668	0.131
44.100	38.213	3.537	1.050	1.409
44.199	40.368	2.706	0.960	1.356
